Bug ID,Test Case ID,Date Reported,Module / Component,Summary / Title,Description / Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Assigned To,Remarks / Notes,Status,Date Fixed ,QC Status by BBT,
BUG-001,TC006,10/15/2025,HSA - Registration,Registration fails to show network error message,"1. Disconnect internet.
2. Fill valid registration details.
3. Click on “Sign Up.”",System should show “Network error” or “Unable to connect.”,Page kept buffering with no message shown.,Major,Medium,Frontend,Add proper network failure handling message,FIxed,10/29/2025,TRUE,
BUG-002,TC007,10/15/2025,HSA - Registration,Missing redirect after successful registration,"1. Go to registration page.
2. Enter valid name, email, and password.
3. Click “Sign Up.”
4. Observe behavior after success message.",System should show success message and redirect to login page.,Success message displayed but no redirection occurred.,Major,Medium,Frontend,Implement redirect after successful registration.,As it is,10/29/2025,TRUE,
BUG-003,TC008,10/15/2025,HSA - Registration,Navigation inconsistency between login and register buttons,"1. Click on the Login button in the navigation bar.
2. Click on the “Register for Free” button below the login/register section.",Clicking “Register for Free” should open the Registration Page.,It opens the Login section instead of registration page.,Minor,Medium,Frontend,Fix navigation routing for “Register for Free” button.,FIxed,10/15/2025,TRUE,
BUG-004,TC018,10/15/2025,HSA - Login,No network error handling on login attempt,"1. Disconnect internet.
2. Enter valid credentials.
3. Click “Login.”",System should show “Network error” or “Unable to connect.”,Page kept buffering without any message.,Major,Medium,Frontend,Add network connection detection and display appropriate message.,FIxed,10/29/2025,TRUE,
BUG-005,-,10/16/2025,HSA - Forgot Password,No forgot Password Button,-,Forgot Password should display in the login page,Forgot Password is not displayed in the login page,Major,Major,Frontend,Forgot password is a necessary feature which is needed asap,FIxed,10/28/2025,TRUE,
BUG-006,TC026,10/15/2025,HSA - Forgot Password,Reset email link redirects to incorrect page,"1. Open received reset email.
2. Click on the reset link.",Should redirect to password reset form page.,Redirects to login page instead.,Medium,Major,Frontend,it redirects to app.homeschool.asia if you are still logged into it if you iniate forgot password from homeschool.asia,FIxed,,FALSE,
BUG-007,TC027,10/15/2025,HSA - Forgot Password,Password reset confirmation not reflected on main site (homeschool.asia),"1. Open reset form.
2. Enter new password & confirm password.
3. Click “Reset Password.”","- After password reset success, app.homeschool.asia redirects user to home dashboard (logged in).
- homeschool.asia should either automatically update the UI or return to login page ready for fresh login.","- app.homeschool.asia resets successfully and logs user in.
- homeschool.asia still shows “Password reset link is sent to the mail” message and remains on the same login screen even after reload.",High,Major,Frontend,pre condition: you have to be logged out of app.homeschool.asia first to successfully change the password ,FIxed,,FALSE,
BUG-008,TC028,10/15/2025,HSA - Forgot Password,Expired reset link still functional,"1. Use an older reset link from email.
2. Open in browser.",Should show “Link expired” or “Invalid token.”,"Link still opens reset form and allows submission.
",High,Major,Frontend,Unauthorized is shown only if the link has crossed 24 hours,As it is,11/3/2025,TRUE,
BUG-009,HSA012,10/15/2025,HSA - Dashboard,Learning Hub does not log out when user logs out from main HSA platform.,"1. Log in to the main HSA platform.
2. Access the Learning Hub through the dashboard.
3. Log out from the main HSA platform.
4. Try to open the Learning Hub again.",User should be logged out from the Learning Hub after logging out from the main HSA platform.,"User remains logged in to the Learning Hub even after logging out from the main HSA platform.
",High,Major,Frontend,"After confirmation, it should be kept that way.",As it is,11/7/2025,TRUE,
BUG-010,HSA014,10/15/2025,HSA - Dashboard,Verify system behavior on network disconnection.,"1. Open dashboard.
2. Disconnect internet.
3. Click “View Reports.”",System should show “Network error” or “Unable to connect.”,"Error alert appeared; ""Something went wrong""
",Major,Medium,Frontend,,FIxed,11/18/2025,TRUE,
BUG-011,TC063,10/31/2025,HSA - Tutor Support,“Connect with Tutor” button does not redirect to Academic Support page; stays on the same page.,"1. Click “Connect with Tutor” button below tutor section.
2. Observe navigation or popup.",Button should redirect to the Academic Support page.,"Remains on the same page instead of redirecting to the Academic Support page.
",Medium,Medium,Frontend,,FIxed,11/2/2025,TRUE,
BUG-012,TC064,10/31/2025,HSA - Tutor Support,"Clicking ""Connect with Tutor"" after empty Login should show the Registration form but redirects to the Login form instead.","1. Click on Login option but do not enter any credentials.
2. Click on ""Connect with Tutor"".","After clicking on ""Connect with Tutor"", it should display Registration form","Login form is displayed.
",High,Major,Frontend,,FIxed,11/2/2025,TRUE,
